Gene,PAVMax,PAVMean,PAVMin,PAVFreq
Zm00001d001996,1,0.943387096774193,0.37,0.0322580645161
Zm00001d001997,1,0.974516129032258,0.69,0
Zm00001d001999,1,0.968225806451613,0.74,0
Zm00001d002000,1,0.985,0.7,0
Zm00001d002001,1,0.953870967741936,0.48,0.0161290322581
Zm00001d002003,1,0.995322580645161,0.94,0
Zm00001d002004,1,0.910322580645161,0.41,0.0483870967742
Zm00001d002005,1,0.975,0.75,0
Zm00001d002006,1,0.984032258064516,0.81,0
Zm00001d002007,1,0.826451612903226,0.05,0.193548387097
Zm00001d002008,1,0.841612903225806,0,0.177419354839
Zm00001d002011,1,0.992258064516129,0.78,0
Zm00001d002012,1,0.97258064516129,0.73,0
Zm00001d002013,1,0.975645161290322,0.78,0
Zm00001d002014,1,0.9,0,0.0645161290323
Zm00001d002015,1,0.435645161290323,0,0.516129032258
Zm00001d002016,1,0.803870967741935,0.06,0.112903225806
Zm00001d002017,1,0.427741935483871,0,0.532258064516
Zm00001d002018,1,0.738064516129032,0.18,0.177419354839
Zm00001d002019,1,0.991935483870967,0.86,0
Zm00001d002020,1,0.976129032258065,0.72,0
Zm00001d002021,1,0.977258064516129,0.57,0
Zm00001d002022,1,0.971774193548387,0.77,0
Zm00001d002023,1,0.672741935483871,0,0.338709677419
Zm00001d002024,1,0.995161290322581,0.85,0
Zm00001d002025,1,0.901612903225806,0.62,0
Zm00001d002026,1,0.981129032258064,0.61,0
Zm00001d002027,1,0.941774193548387,0.23,0.0322580645161
Zm00001d002028,1,0.986451612903226,0.49,0.0161290322581
Zm00001d002029,1,0.985645161290323,0.74,0
Zm00001d002031,1,0.898870967741935,0.22,0.0483870967742
Zm00001d002032,1,0.760161290322581,0.05,0.258064516129
Zm00001d002033,1,0.955483870967742,0.42,0.0483870967742
Zm00001d002034,1,0.939838709677419,0.48,0.0161290322581
Zm00001d002035,1,0.915806451612903,0.31,0.0483870967742
Zm00001d002036,1,0.969516129032258,0.8,0
Zm00001d002037,1,0.999193548387097,0.95,0
Zm00001d002038,1,0.959354838709677,0.62,0
Zm00001d002039,1,0.992903225806452,0.61,0
Zm00001d002040,0.87,0.554354838709677,0,0.370967741935
Zm00001d002042,1,0.96241935483871,0.53,0
Zm00001d002043,1,0.981935483870968,0.16,0.0161290322581
Zm00001d002044,1,0.395806451612903,0,0.564516129032
Zm00001d002046,1,0.968548387096774,0.77,0
Zm00001d002047,1,0.341612903225806,0,0.661290322581
Zm00001d002048,1,0.583870967741935,0,0.322580645161
Zm00001d002049,0.86,0.095967741935484,0,0.951612903226
Zm00001d002050,1,0.301774193548387,0,0.774193548387
Zm00001d002051,1,0.97258064516129,0.77,0
Zm00001d002052,1,0.977258064516129,0.65,0
Zm00001d002053,1,0.91258064516129,0.41,0.0161290322581
Zm00001d002054,1,0.968387096774194,0.67,0
Zm00001d002055,1,0.975967741935484,0.7,0
Zm00001d002056,1,0.995967741935484,0.85,0
Zm00001d002057,1,0.989838709677419,0.79,0
Zm00001d002058,1,0.99758064516129,0.91,0
Zm00001d002062,1,0.796612903225806,0,0.193548387097
Zm00001d002063,1,0.996129032258065,0.85,0
Zm00001d002064,1,0.975483870967742,0.7,0
Zm00001d002065,1,0.961129032258065,0.7,0
Zm00001d002066,1,0.908709677419355,0.62,0
Zm00001d002067,0.98,0.417741935483871,0,0.612903225806
Zm00001d002068,1,0.982258064516129,0.83,0
Zm00001d002069,1,0.985645161290322,0.19,0.0161290322581
Zm00001d002071,1,0.970322580645161,0.11,0.0161290322581
Zm00001d002072,1,0.919838709677419,0.08,0.0806451612903
Zm00001d002074,1,0.961935483870968,0,0.0161290322581
Zm00001d002075,1,0.927258064516129,0.57,0
Zm00001d002079,1,0.981290322580645,0.6,0
Zm00001d002080,1,0.998548387096774,0.97,0
Zm00001d002081,1,0.405806451612903,0,0.693548387097
Zm00001d002082,1,0.944193548387097,0.52,0
Zm00001d002083,1,0.953387096774194,0.42,0.0322580645161
Zm00001d002084,1,0.998870967741936,0.95,0
Zm00001d002085,1,0.976935483870968,0.66,0
Zm00001d002086,1,0.988225806451613,0.8,0
Zm00001d002087,1,0.995161290322581,0.92,0
Zm00001d002088,1,0.94758064516129,0.5,0
Zm00001d002089,1,0.986774193548387,0.89,0
Zm00001d002090,1,0.982096774193548,0.83,0
Zm00001d002091,1,0.989838709677419,0.87,0
Zm00001d002093,1,0.889354838709677,0.23,0.0967741935484
Zm00001d002094,1,0.990322580645161,0.79,0
Zm00001d002095,1,0.977258064516129,0.81,0
Zm00001d002096,1,0.882258064516129,0,0.0967741935484
Zm00001d002097,1,0.63241935483871,0,0.387096774194
Zm00001d002098,1,0.98516129032258,0.8,0
Zm00001d002099,1,0.993064516129032,0.84,0
Zm00001d002100,1,0.970645161290322,0.28,0.0322580645161
Zm00001d002101,1,0.922903225806452,0.43,0.0483870967742
Zm00001d002103,1,0.998548387096774,0.97,0
Zm00001d002104,1,0.994193548387097,0.83,0
Zm00001d002105,1,0.998870967741936,0.96,0
Zm00001d002106,1,0.701129032258064,0,0.274193548387
Zm00001d002107,0.96,0.293225806451613,0,0.774193548387
Zm00001d002108,1,0.565806451612903,0,0.41935483871
Zm00001d002109,1,0.80758064516129,0,0.0806451612903
Zm00001d002110,1,0.979354838709677,0.65,0
Zm00001d002111,1,0.682741935483871,0.03,0.274193548387
Zm00001d002112,0.36,0.074193548387097,0,1
Zm00001d002113,1,0.463709677419355,0,0.58064516129
Zm00001d002115,1,0.964516129032258,0.67,0
Zm00001d002116,1,0.824838709677419,0,0.177419354839
Zm00001d002117,1,0.894838709677419,0,0.112903225806
Zm00001d002119,1,0.985,0.89,0
Zm00001d002120,1,0.947903225806452,0.19,0.0161290322581
Zm00001d002121,1,0.939354838709677,0,0.0483870967742
Zm00001d002122,1,0.995967741935484,0.91,0
Zm00001d002123,1,1,1,0
Zm00001d002124,1,0.994354838709677,0.69,0
Zm00001d002125,1,0.999677419354839,0.98,0
Zm00001d002126,1,0.996774193548387,0.91,0
Zm00001d002127,1,0.947903225806452,0.51,0
Zm00001d002128,1,0.979193548387097,0.75,0
Zm00001d002129,1,0.995,0.85,0
Zm00001d002130,1,0.978225806451613,0.72,0
Zm00001d002131,1,0.967096774193548,0.49,0.0161290322581
Zm00001d002132,1,0.898548387096774,0,0.0645161290323
Zm00001d002133,1,0.846451612903226,0,0.177419354839
Zm00001d002134,1,0.515806451612903,0,0.548387096774
Zm00001d002135,1,0.983709677419355,0.7,0
Zm00001d002136,1,0.998548387096774,0.92,0
Zm00001d002137,1,0.779032258064516,0,0.209677419355
Zm00001d002138,1,0.734516129032258,0,0.258064516129
Zm00001d002139,1,0.98258064516129,0.67,0
Zm00001d002140,1,0.995645161290323,0.85,0
Zm00001d002141,1,0.996774193548387,0.91,0
Zm00001d002143,1,0.846290322580645,0.21,0.0645161290323
Zm00001d002144,1,0.939193548387097,0,0.0483870967742
Zm00001d002145,1,0.99758064516129,0.95,0
Zm00001d002146,1,0.999032258064516,0.96,0
Zm00001d002147,1,0.855,0.26,0.0806451612903
Zm00001d002148,1,0.971774193548387,0.54,0
Zm00001d002149,1,0.990645161290323,0.86,0
Zm00001d002150,1,0.956290322580645,0.61,0
Zm00001d002153,1,0.957741935483871,0.72,0
Zm00001d002154,1,0.998225806451613,0.94,0
Zm00001d002155,1,0.906290322580645,0.27,0.0645161290323
Zm00001d002156,1,0.999838709677419,0.99,0
Zm00001d002157,1,0.962903225806452,0.52,0
Zm00001d002158,1,0.960806451612903,0.39,0.0161290322581
Zm00001d002159,1,0.961774193548387,0.5,0
Zm00001d002160,1,0.961612903225806,0,0.0322580645161
Zm00001d002161,1,0.848709677419355,0,0.0967741935484
Zm00001d002163,1,0.963225806451613,0.63,0
Zm00001d002164,1,0.529516129032258,0,0.403225806452
Zm00001d002166,1,0.956935483870968,0.68,0
Zm00001d002167,1,0.950967741935484,0.39,0.0161290322581
Zm00001d002168,1,0.989193548387097,0.9,0
Zm00001d002169,1,0.918064516129032,0.71,0
Zm00001d002172,1,0.986290322580645,0.75,0
Zm00001d002173,1,0.985322580645161,0.8,0
Zm00001d002174,1,0.960645161290323,0.66,0
Zm00001d002175,1,0.995,0.91,0
Zm00001d002176,1,0.983064516129032,0.73,0
Zm00001d002178,1,0.986612903225806,0.83,0
Zm00001d002179,1,0.920967741935484,0.42,0.0161290322581
Zm00001d002181,1,0.950483870967742,0.22,0.0483870967742
Zm00001d002182,1,0.800161290322581,0.01,0.161290322581
Zm00001d002184,1,0.996290322580645,0.84,0
Zm00001d002185,1,0.984677419354839,0.73,0
Zm00001d002186,1,0.989516129032258,0.93,0
Zm00001d002187,1,0.527903225806452,0,0.5
Zm00001d002188,1,0.960967741935484,0.39,0.0161290322581
Zm00001d002189,1,0.729354838709677,0,0.274193548387
Zm00001d002190,1,0.971451612903226,0.73,0
Zm00001d002191,1,0.952741935483871,0.57,0
Zm00001d002192,1,0.959838709677419,0.57,0
Zm00001d002193,1,0.961290322580645,0.58,0
Zm00001d002194,0.55,0.067096774193548,0,0.967741935484
Zm00001d002195,0.84,0.566290322580645,0,0.306451612903
Zm00001d002198,1,0.766129032258065,0.28,0.145161290323
Zm00001d002199,1,0.743387096774193,0.14,0.258064516129
Zm00001d002200,1,0.998709677419355,0.95,0
Zm00001d002202,1,0.809677419354839,0.04,0.0806451612903
Zm00001d002203,0.88,0.203387096774194,0,0.887096774194
Zm00001d002204,1,0.39258064516129,0,0.612903225806
Zm00001d002205,0.59,0.17258064516129,0,0.951612903226
Zm00001d002206,1,0.680806451612903,0,0.112903225806
Zm00001d002207,1,0.944354838709678,0.04,0.0483870967742
Zm00001d002208,1,0.710483870967742,0,0.193548387097
Zm00001d002209,0.9,0.331935483870968,0,0.774193548387
Zm00001d002211,0.86,0.589677419354839,0,0.258064516129
Zm00001d002212,1,0.883387096774194,0,0.0645161290323
Zm00001d002213,1,0.915645161290322,0.07,0.0161290322581
Zm00001d002214,0.99,0.350322580645161,0,0.806451612903
Zm00001d002215,1,0.370322580645161,0,0.661290322581
Zm00001d002216,1,0.920645161290322,0,0.0161290322581
Zm00001d002217,1,0.855967741935484,0.12,0.0161290322581
Zm00001d002218,0.97,0.492903225806452,0,0.612903225806
Zm00001d002220,0.83,0.093548387096774,0,0.951612903226
Zm00001d002221,0.63,0.212903225806452,0,0.870967741935
Zm00001d002223,0.96,0.363709677419355,0,0.677419354839
Zm00001d002224,1,0.295,0,0.774193548387
Zm00001d002225,0.72,0.194677419354839,0,0.935483870968
Zm00001d002226,0.95,0.340322580645161,0,0.725806451613
Zm00001d002227,0.9,0.179677419354839,0,0.887096774194
Zm00001d002228,0.85,0.271935483870968,0,0.903225806452
Zm00001d002229,0.98,0.355806451612903,0,0.758064516129
Zm00001d002230,1,0.873548387096774,0,0.0806451612903
Zm00001d002231,1,0.800483870967742,0,0.112903225806
Zm00001d002232,1,0.781290322580645,0.28,0.0483870967742
Zm00001d002234,1,0.992741935483871,0.9,0
Zm00001d002235,1,0.999677419354839,0.98,0
Zm00001d002236,1,0.959193548387097,0,0.0483870967742
Zm00001d002238,1,0.910967741935484,0,0.0645161290323
Zm00001d002239,0.71,0.144193548387097,0,0.91935483871
Zm00001d002240,1,1,1,0
Zm00001d002241,1,1,1,0
Zm00001d002242,1,0.999677419354839,0.98,0
Zm00001d002243,1,1,1,0
Zm00001d002244,1,1,1,0
Zm00001d002246,1,0.999677419354839,0.98,0
Zm00001d002247,1,0.989193548387097,0.4,0.0161290322581
Zm00001d002249,1,0.983870967741936,0,0.0161290322581
Zm00001d002250,1,0.996935483870968,0.95,0
Zm00001d002251,1,0.443387096774193,0,0.58064516129
Zm00001d002252,1,0.951774193548387,0.63,0
Zm00001d002253,1,0.97258064516129,0.51,0
Zm00001d002254,1,0.973548387096774,0.31,0.0161290322581
Zm00001d002255,1,0.978387096774193,0.36,0.0161290322581
Zm00001d002256,1,0.972258064516129,0.73,0
Zm00001d002257,1,0.919032258064516,0.41,0.0645161290323
Zm00001d002258,1,0.973225806451613,0.8,0
Zm00001d002259,1,0.996935483870968,0.94,0
Zm00001d002260,1,0.942096774193548,0.52,0
Zm00001d002261,1,0.959516129032258,0.69,0
Zm00001d002262,1,0.737903225806452,0,0.274193548387
Zm00001d002263,1,0.655161290322581,0,0.274193548387
Zm00001d002266,1,0.975161290322581,0.64,0
Zm00001d002267,1,0.985483870967742,0.71,0
Zm00001d002268,1,0.655161290322581,0,0.338709677419
Zm00001d002269,1,0.97758064516129,0.73,0
Zm00001d002271,1,0.975483870967742,0.52,0
Zm00001d002272,1,0.989354838709677,0.69,0
Zm00001d002274,1,0.986935483870968,0.83,0
Zm00001d002275,1,0.998064516129032,0.96,0
Zm00001d002276,1,0.914193548387097,0.03,0.0645161290323
Zm00001d002277,1,0.966451612903226,0.45,0.0161290322581
Zm00001d002278,1,0.68741935483871,0.25,0.0967741935484
Zm00001d002279,1,0.82,0,0.112903225806
Zm00001d002280,1,0.620967741935484,0.05,0.241935483871
Zm00001d002281,1,0.536612903225806,0,0.532258064516
Zm00001d002282,1,0.989516129032258,0.89,0
Zm00001d002283,1,0.988064516129032,0.84,0
Zm00001d002284,1,0.963709677419355,0.6,0
Zm00001d002285,1,0.89741935483871,0.12,0.0967741935484
Zm00001d002286,1,0.970322580645161,0.63,0
Zm00001d002287,1,0.975645161290323,0.35,0.0161290322581
Zm00001d002288,1,0.945645161290323,0.32,0.0161290322581
Zm00001d002290,1,0.738225806451613,0,0.241935483871
Zm00001d002292,1,0.908548387096774,0.68,0
Zm00001d002295,1,0.972096774193548,0.49,0.0161290322581
Zm00001d002296,1,0.908387096774194,0.5,0
Zm00001d002299,0.58,0.226935483870968,0,0.967741935484
Zm00001d002301,1,0.986612903225806,0.86,0
Zm00001d002302,1,0.804193548387097,0.3,0.274193548387
Zm00001d002304,1,0.943709677419355,0,0.0322580645161
Zm00001d002305,1,0.691129032258064,0,0.322580645161
Zm00001d002307,1,0.925161290322581,0,0.0483870967742
Zm00001d002308,0.98,0.387096774193548,0,0.677419354839
Zm00001d002309,1,0.500645161290322,0,0.483870967742
Zm00001d002311,1,0.516451612903226,0,0.435483870968
Zm00001d002312,1,0.831612903225807,0.45,0.0161290322581
Zm00001d002313,1,0.953387096774194,0.76,0
Zm00001d002314,1,0.979677419354839,0.83,0
Zm00001d002315,1,0.991612903225806,0.88,0
Zm00001d002316,1,0.998387096774194,0.95,0
Zm00001d002317,1,0.978709677419355,0.69,0
Zm00001d002318,1,0.113870967741935,0,0.91935483871
Zm00001d002319,0.89,0.439677419354839,0,0.483870967742
Zm00001d002320,0.98,0.227258064516129,0,0.774193548387
Zm00001d002322,1,0.735967741935484,0,0.241935483871
Zm00001d002323,1,0.993870967741935,0.72,0
Zm00001d002324,1,0.995,0.81,0
Zm00001d002325,1,0.98516129032258,0.8,0
Zm00001d002326,1,0.909838709677419,0.47,0.0161290322581
Zm00001d002328,1,0.602741935483871,0,0.435483870968
Zm00001d002330,1,0.993225806451613,0.76,0
Zm00001d002331,1,0.71516129032258,0,0.241935483871
Zm00001d002332,1,0.941451612903226,0.36,0.0161290322581
Zm00001d002333,1,0.961935483870968,0.76,0
Zm00001d002334,1,0.975645161290323,0.82,0
Zm00001d002336,1,0.619516129032258,0,0.338709677419
Zm00001d002338,1,0.959032258064516,0.66,0
Zm00001d002339,1,0.91258064516129,0.34,0.0483870967742
Zm00001d002340,1,0.970483870967742,0.7,0
Zm00001d002341,1,0.986129032258064,0.72,0
Zm00001d002342,1,0.904193548387097,0.69,0
Zm00001d002343,1,0.996935483870968,0.94,0
Zm00001d002344,1,0.98741935483871,0.58,0
Zm00001d002345,1,0.991612903225806,0.89,0
Zm00001d002346,1,0.935483870967742,0.54,0
Zm00001d002347,1,0.91758064516129,0,0.0806451612903
Zm00001d002348,1,0.821451612903226,0.24,0.145161290323
Zm00001d002349,1,0.979193548387097,0.73,0
Zm00001d002350,1,0.904677419354839,0.25,0.0161290322581
Zm00001d002351,1,0.896290322580645,0.36,0.0645161290323
Zm00001d002352,1,0.965483870967742,0.5,0
Zm00001d002353,1,0.979193548387097,0.76,0
Zm00001d002356,1,0.999838709677419,0.99,0
Zm00001d002357,1,0.976129032258064,0.55,0
Zm00001d002358,1,0.98758064516129,0.78,0
Zm00001d002359,1,0.998709677419355,0.97,0
Zm00001d002360,1,0.999516129032258,0.99,0
Zm00001d002361,1,0.814193548387097,0,0.225806451613
Zm00001d002362,1,0.976774193548387,0.64,0
Zm00001d002364,1,0.97483870967742,0.69,0
Zm00001d002365,1,0.594193548387097,0,0.41935483871
Zm00001d002366,1,0.942741935483871,0.72,0
Zm00001d002367,1,0.89258064516129,0.13,0.0483870967742
Zm00001d002369,1,0.961290322580645,0.65,0
Zm00001d002370,1,0.980645161290322,0.81,0
Zm00001d002371,1,0.999677419354839,0.99,0
Zm00001d002372,1,0.964193548387097,0.69,0
Zm00001d002373,1,0.997741935483871,0.97,0
Zm00001d002374,1,0.996935483870968,0.81,0
Zm00001d002375,1,0.82,0,0.0806451612903
Zm00001d002377,1,0.989677419354839,0.86,0
Zm00001d002378,1,0.925,0.53,0
Zm00001d002379,1,0.561451612903226,0,0.451612903226
Zm00001d002380,0.73,0.273709677419355,0,0.887096774194
Zm00001d002381,1,0.255322580645161,0,0.870967741935
Zm00001d002382,1,0.957096774193548,0.49,0.0161290322581
Zm00001d002383,1,0.619516129032258,0,0.451612903226
Zm00001d002384,1,0.910645161290323,0.57,0
Zm00001d002385,1,0.966774193548387,0.77,0
Zm00001d002386,1,0.986129032258064,0.52,0
Zm00001d002387,1,0.976451612903226,0.4,0.0161290322581
Zm00001d002388,1,0.974193548387097,0.8,0
Zm00001d002390,1,0.969677419354839,0.81,0
